[waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint]
[0.000000,0.000000,0.000000,0.258004,0.165014,-0.199942,-0.001917,-0.121905,-0.049914,-0.198073,0.226899,-0.160079,0.226579,0.057366,0.243630,-0.017221,0.215701]
[0.000000,0.000000,0.000000,0.258000,0.165000,-0.200000,-0.002000,-0.122000,-0.050000,-0.198000,0.227000,-0.160000,0.227000,0.057000,0.244000,-0.017000,0.216000]
[0.000000,0.000000,0.000000,0.257985,0.164955,-0.200333,-0.001966,-0.122006,-0.050228,-0.198068,0.227501,-0.160046,0.226707,0.057654,0.243766,-0.018290,0.217468]
[0.000000,0.000000,0.000000,0.258000,0.165000,-0.201000,-0.002000,-0.122000,-0.050000,-0.198000,0.228000,-0.160000,0.226000,0.059000,0.243000,-0.020000,0.219000]
[0.000000,0.000000,0.000000,0.258054,0.165290,-0.201975,-0.002343,-0.122198,-0.048800,-0.197528,0.228099,-0.159613,0.225344,0.060516,0.241933,-0.020992,0.219428]
[0.000000,0.000000,0.000000,0.258000,0.166000,-0.203000,-0.003000,-0.123000,-0.047000,-0.197000,0.228000,-0.159000,0.225000,0.062000,0.241000,-0.022000,0.219000]
[0.000000,0.000000,0.000000,0.257672,0.167261,-0.203892,-0.003912,-0.124701,-0.045071,-0.196694,0.227980,-0.158376,0.225042,0.063408,0.240504,-0.023865,0.218319]
[0.000000,0.000000,0.000000,0.257000,0.169000,-0.205000,-0.005000,-0.127000,-0.043000,-0.196000,0.228000,-0.158000,0.225000,0.065000,0.240000,-0.026000,0.218000]
[0.000000,0.000000,0.000000,0.256007,0.171040,-0.206580,-0.006135,-0.129496,-0.040791,-0.194447,0.227980,-0.158007,0.224489,0.066979,0.239051,-0.027673,0.218421]
[0.000000,0.000000,0.000000,0.255000,0.173000,-0.208000,-0.007000,-0.132000,-0.039000,-0.193000,0.228000,-0.158000,0.224000,0.069000,0.238000,-0.029000,0.219000]
[0.000000,0.000000,0.000000,0.254299,0.174577,-0.208662,-0.007299,-0.134315,-0.038140,-0.192644,0.228099,-0.157597,0.224003,0.070677,0.237293,-0.030191,0.219123]
[0.000000,0.000000,0.000000,0.254000,0.176000,-0.209000,-0.007000,-0.136000,-0.038000,-0.193000,0.228000,-0.157000,0.224000,0.072000,0.237000,-0.031000,0.219000]
[0.000000,0.000000,0.000000,0.254046,0.177527,-0.209523,-0.006171,-0.136743,-0.038272,-0.193477,0.227500,-0.156481,0.223499,0.073061,0.237027,-0.031186,0.218962]
[0.000000,0.000000,0.000000,0.254000,0.179000,-0.210000,-0.005000,-0.137000,-0.039000,-0.194000,0.227000,-0.156000,0.223000,0.074000,0.237000,-0.031000,0.219000]
[0.000000,0.000000,0.000000,0.253516,0.180192,-0.210121,-0.003769,-0.137340,-0.040146,-0.194573,0.226901,-0.155480,0.223000,0.074952,0.236599,-0.030815,0.219029]
[0.000000,0.000000,0.000000,0.253000,0.181000,-0.210000,-0.003000,-0.138000,-0.041000,-0.195000,0.227000,-0.155000,0.223000,0.076000,0.236000,-0.031000,0.219000]
[0.000000,0.000000,0.000000,0.252888,0.181456,-0.209867,-0.003002,-0.139024,-0.041020,-0.195107,0.227019,-0.154598,0.222502,0.077130,0.235453,-0.031679,0.218922]
[0.000000,0.000000,0.000000,0.253000,0.182000,-0.210000,-0.003000,-0.140000,-0.041000,-0.195000,0.227000,-0.154000,0.222000,0.078000,0.235000,-0.032000,0.219000]
[0.000000,0.000000,0.000000,0.253055,0.182984,-0.210535,-0.002221,-0.140563,-0.041774,-0.194876,0.227021,-0.153001,0.221992,0.078403,0.234588,-0.031345,0.219409]
[0.000000,0.000000,0.000000,0.253000,0.184000,-0.211000,-0.001000,-0.141000,-0.043000,-0.195000,0.227000,-0.152000,0.222000,0.079000,0.234000,-0.031000,0.220000]
[0.000000,0.000000,0.000000,0.252891,0.184607,-0.210994,0.000138,-0.141599,-0.044134,-0.195514,0.226896,-0.151397,0.221530,0.080384,0.233070,-0.032193,0.220568]
[0.000000,0.000000,0.000000,0.253000,0.185000,-0.211000,0.001000,-0.142000,-0.045000,-0.196000,0.227000,-0.151000,0.221000,0.082000,0.232000,-0.034000,0.221000]
[0.000000,0.000000,0.000000,0.253504,0.185463,-0.211491,0.001545,-0.141915,-0.045564,-0.196067,0.227521,-0.150534,0.220890,0.083186,0.231006,-0.035258,0.221193]
[0.000000,0.000000,0.000000,0.254000,0.186000,-0.212000,0.002000,-0.142000,-0.046000,-0.196000,0.228000,-0.150000,0.221000,0.084000,0.230000,-0.036000,0.221000]
[0.000000,0.000000,0.000000,0.254092,0.186540,-0.212043,0.002558,-0.142867,-0.046486,-0.196094,0.228019,-0.149466,0.221037,0.084620,0.228906,-0.036525,0.220408]
[0.000000,0.000000,0.000000,0.254000,0.187000,-0.212000,0.003000,-0.144000,-0.047000,-0.196000,0.228000,-0.149000,0.221000,0.085000,0.228000,-0.037000,0.220000]
[0.000000,0.000000,0.000000,0.254002,0.187378,-0.212338,0.003224,-0.144741,-0.047619,-0.195434,0.228401,-0.148603,0.220964,0.085083,0.227494,-0.037518,0.220299]
[0.000000,0.000000,0.000000,0.254000,0.188000,-0.213000,0.004000,-0.145000,-0.049000,-0.195000,0.229000,-0.148000,0.221000,0.085000,0.227000,-0.038000,0.221000]
[0.000000,0.000000,0.000000,0.253899,0.189072,-0.213729,0.005920,-0.144918,-0.051538,-0.195297,0.229502,-0.146998,0.221108,0.084922,0.226119,-0.038403,0.221645]
[0.000000,0.000000,0.000000,0.254000,0.190000,-0.214000,0.008000,-0.145000,-0.054000,-0.196000,0.230000,-0.146000,0.221000,0.085000,0.225000,-0.039000,0.222000]
[0.000000,0.000000,0.000000,0.254527,0.190208,-0.213497,0.009219,-0.145588,-0.055230,-0.196628,0.230591,-0.145405,0.220480,0.085353,0.223906,-0.039994,0.221995]
[0.000000,0.000000,0.000000,0.255000,0.190000,-0.213000,0.010000,-0.146000,-0.056000,-0.197000,0.231000,-0.145000,0.220000,0.086000,0.223000,-0.041000,0.222000]
[0.000000,0.000000,0.000000,0.254995,0.189844,-0.213282,0.010952,-0.145604,-0.057292,-0.197066,0.231007,-0.144508,0.219973,0.086915,0.222382,-0.041619,0.222374]
[0.000000,0.000000,0.000000,0.255000,0.190000,-0.214000,0.012000,-0.145000,-0.059000,-0.197000,0.231000,-0.144000,0.220000,0.088000,0.222000,-0.042000,0.223000]
[0.000000,0.000000,0.000000,0.255495,0.190539,-0.214625,0.012974,-0.144870,-0.060727,-0.196982,0.231380,-0.143564,0.219627,0.089111,0.221692,-0.042404,0.223632]
[0.000000,0.000000,0.000000,0.256000,0.191000,-0.215000,0.014000,-0.145000,-0.062000,-0.197000,0.232000,-0.143000,0.219000,0.090000,0.221000,-0.043000,0.224000]
[0.000000,0.000000,0.000000,0.256027,0.190998,-0.215093,0.015154,-0.145040,-0.062549,-0.197005,0.232599,-0.142110,0.218392,0.090514,0.219599,-0.043891,0.223972]
[0.000000,0.000000,0.000000,0.256000,0.191000,-0.215000,0.016000,-0.145000,-0.063000,-0.197000,0.233000,-0.141000,0.218000,0.091000,0.218000,-0.045000,0.224000]
[0.000000,0.000000,0.000000,0.256399,0.191468,-0.214877,0.016160,-0.144971,-0.063952,-0.196997,0.233101,-0.139872,0.217930,0.091832,0.216788,-0.046158,0.224479]
[0.000000,0.000000,0.000000,0.257000,0.192000,-0.215000,0.016000,-0.145000,-0.065000,-0.197000,0.233000,-0.139000,0.218000,0.093000,0.216000,-0.047000,0.225000]
[0.000000,0.000000,0.000000,0.257502,0.192129,-0.215524,0.015956,-0.145076,-0.065644,-0.197008,0.232873,-0.138529,0.218014,0.094284,0.215499,-0.047229,0.225111]
[0.000000,0.000000,0.000000,0.258000,0.192000,-0.216000,0.016000,-0.145000,-0.066000,-0.197000,0.233000,-0.138000,0.218000,0.095000,0.215000,-0.047000,0.225000]
[0.000000,0.000000,0.000000,0.258592,0.191892,-0.216026,0.016017,-0.144601,-0.066348,-0.196973,0.233532,-0.137014,0.218015,0.094658,0.214340,-0.046553,0.224951]
[0.000000,0.000000,0.000000,0.259000,0.192000,-0.216000,0.016000,-0.144000,-0.067000,-0.197000,0.234000,-0.136000,0.218000,0.094000,0.214000,-0.046000,0.225000]
[0.000000,0.000000,0.000000,0.259006,0.192428,-0.216371,0.015977,-0.143397,-0.068090,-0.197102,0.233997,-0.135417,0.217926,0.093836,0.214390,-0.045434,0.225083]
[0.000000,0.000000,0.000000,0.259000,0.193000,-0.217000,0.016000,-0.143000,-0.069000,-0.197000,0.234000,-0.135000,0.218000,0.094000,0.215000,-0.045000,0.225000]
[0.000000,0.000000,0.000000,0.259385,0.193520,-0.217615,0.016074,-0.142937,-0.069169,-0.196495,0.234478,-0.134443,0.218407,0.094124,0.215223,-0.044836,0.224591]
[0.000000,0.000000,0.000000,0.260000,0.194000,-0.218000,0.016000,-0.143000,-0.069000,-0.196000,0.235000,-0.134000,0.219000,0.094000,0.215000,-0.045000,0.224000]
[0.000000,0.000000,0.000000,0.260580,0.194493,-0.218045,0.015600,-0.142979,-0.068985,-0.195918,0.235091,-0.133936,0.219573,0.093542,0.214467,-0.045471,0.223428]
[0.000000,0.000000,0.000000,0.261000,0.195000,-0.218000,0.015000,-0.143000,-0.069000,-0.196000,0.235000,-0.134000,0.220000,0.093000,0.214000,-0.046000,0.223000]
[0.000000,0.000000,0.000000,0.261170,0.195507,-0.218205,0.014400,-0.143271,-0.068765,-0.195832,0.235159,-0.133814,0.220177,0.092708,0.214033,-0.046279,0.222822]
[0.000000,0.000000,0.000000,0.261000,0.196000,-0.219000,0.014000,-0.144000,-0.068000,-0.195000,0.236000,-0.133000,0.220000,0.093000,0.215000,-0.046000,0.223000]
[0.000000,0.000000,0.000000,0.263839,0.193452,-0.223194,0.022903,-0.104645,-0.069290,-0.177548,0.237613,-0.138581,0.222710,0.095968,0.190871,-0.040742,0.204161]
[0.000000,0.000000,0.000000,0.266677,0.190903,-0.227387,0.031806,-0.065290,-0.070581,-0.160097,0.239226,-0.144161,0.225419,0.098935,0.166742,-0.035484,0.185323]
[0.000000,0.000000,0.000000,0.269516,0.188355,-0.231581,0.040710,-0.025935,-0.071871,-0.142645,0.240839,-0.149742,0.228129,0.101903,0.142613,-0.030226,0.166484]
[0.000000,0.000000,0.000000,0.272355,0.185806,-0.235774,0.049613,0.013419,-0.073161,-0.125194,0.242452,-0.155323,0.230839,0.104871,0.118484,-0.024968,0.147645]
[0.000000,0.000000,0.000000,0.275194,0.183258,-0.239968,0.058516,0.052774,-0.074452,-0.107742,0.244065,-0.160903,0.233548,0.107839,0.094355,-0.019710,0.128806]
[0.000000,0.000000,0.000000,0.278032,0.180710,-0.244161,0.067419,0.092129,-0.075742,-0.090290,0.245677,-0.166484,0.236258,0.110806,0.070226,-0.014452,0.109968]
[0.000000,0.000000,0.000000,0.280871,0.178161,-0.248355,0.076323,0.131484,-0.077032,-0.072839,0.247290,-0.172065,0.238968,0.113774,0.046097,-0.009194,0.091129]
[0.000000,0.000000,0.000000,0.283710,0.175613,-0.252548,0.085226,0.170839,-0.078323,-0.055387,0.248903,-0.177645,0.241677,0.116742,0.021968,-0.003935,0.072290]
[0.000000,0.000000,0.000000,0.286548,0.173065,-0.256742,0.094129,0.210194,-0.079613,-0.037935,0.250516,-0.183226,0.244387,0.119710,-0.002161,0.001323,0.053452]
[0.000000,0.000000,0.000000,0.289387,0.170516,-0.260935,0.103032,0.249548,-0.080903,-0.020484,0.252129,-0.188806,0.247097,0.122677,-0.026290,0.006581,0.034613]
[0.000000,0.000000,0.000000,0.292226,0.167968,-0.265129,0.111935,0.288903,-0.082194,-0.003032,0.253742,-0.194387,0.249806,0.125645,-0.050419,0.011839,0.015774]
[0.000000,0.000000,0.000000,0.295065,0.165419,-0.269323,0.120839,0.328258,-0.083484,0.014419,0.255355,-0.199968,0.252516,0.128613,-0.074548,0.017097,-0.003065]
[0.000000,0.000000,0.000000,0.297903,0.162871,-0.273516,0.129742,0.367613,-0.084774,0.031871,0.256968,-0.205548,0.255226,0.131581,-0.098677,0.022355,-0.021903]
[0.000000,0.000000,0.000000,0.300742,0.160323,-0.277710,0.138645,0.406968,-0.086065,0.049323,0.258581,-0.211129,0.257935,0.134548,-0.122806,0.027613,-0.040742]
[0.000000,0.000000,0.000000,0.303581,0.157774,-0.281903,0.147548,0.446323,-0.087355,0.066774,0.260194,-0.216710,0.260645,0.137516,-0.146935,0.032871,-0.059581]
[0.000000,0.000000,0.000000,0.306419,0.155226,-0.286097,0.156452,0.485677,-0.088645,0.084226,0.261806,-0.222290,0.263355,0.140484,-0.171065,0.038129,-0.078419]
[0.000000,0.000000,0.000000,0.309258,0.152677,-0.290290,0.165355,0.525032,-0.089935,0.101677,0.263419,-0.227871,0.266065,0.143452,-0.195194,0.043387,-0.097258]
[0.000000,0.000000,0.000000,0.312097,0.150129,-0.294484,0.174258,0.564387,-0.091226,0.119129,0.265032,-0.233452,0.268774,0.146419,-0.219323,0.048645,-0.116097]
[0.000000,0.000000,0.000000,0.314935,0.147581,-0.298677,0.183161,0.603742,-0.092516,0.136581,0.266645,-0.239032,0.271484,0.149387,-0.243452,0.053903,-0.134935]
[0.000000,0.000000,0.000000,0.317774,0.145032,-0.302871,0.192065,0.643097,-0.093806,0.154032,0.268258,-0.244613,0.274194,0.152355,-0.267581,0.059161,-0.153774]
[0.000000,0.000000,0.000000,0.320613,0.142484,-0.307065,0.200968,0.682452,-0.095097,0.171484,0.269871,-0.250194,0.276903,0.155323,-0.291710,0.064419,-0.172613]
[0.000000,0.000000,0.000000,0.323452,0.139935,-0.311258,0.209871,0.721806,-0.096387,0.188935,0.271484,-0.255774,0.279613,0.158290,-0.315839,0.069677,-0.191452]
[0.000000,0.000000,0.000000,0.326290,0.137387,-0.315452,0.218774,0.761161,-0.097677,0.206387,0.273097,-0.261355,0.282323,0.161258,-0.339968,0.074935,-0.210290]
[0.000000,0.000000,0.000000,0.329129,0.134839,-0.319645,0.227677,0.800516,-0.098968,0.223839,0.274710,-0.266935,0.285032,0.164226,-0.364097,0.080194,-0.229129]
[0.000000,0.000000,0.000000,0.331968,0.132290,-0.323839,0.236581,0.839871,-0.100258,0.241290,0.276323,-0.272516,0.287742,0.167194,-0.388226,0.085452,-0.247968]
[0.000000,0.000000,0.000000,0.334806,0.129742,-0.328032,0.245484,0.879226,-0.101548,0.258742,0.277935,-0.278097,0.290452,0.170161,-0.412355,0.090710,-0.266806]
[0.000000,0.000000,0.000000,0.337645,0.127194,-0.332226,0.254387,0.918581,-0.102839,0.276194,0.279548,-0.283677,0.293161,0.173129,-0.436484,0.095968,-0.285645]
[0.000000,0.000000,0.000000,0.340484,0.124645,-0.336419,0.263290,0.957935,-0.104129,0.293645,0.281161,-0.289258,0.295871,0.176097,-0.460613,0.101226,-0.304484]
[0.000000,0.000000,0.000000,0.343323,0.122097,-0.340613,0.272194,0.997290,-0.105419,0.311097,0.282774,-0.294839,0.298581,0.179065,-0.484742,0.106484,-0.323323]
[0.000000,0.000000,0.000000,0.346161,0.119548,-0.344806,0.281097,1.036645,-0.106710,0.328548,0.284387,-0.300419,0.301290,0.182032,-0.508871,0.111742,-0.342161]
[0.000000,0.000000,0.000000,0.349000,0.117000,-0.349000,0.290000,1.076000,-0.108000,0.346000,0.286000,-0.306000,0.304000,0.185000,-0.533000,0.117000,-0.361000]
[0.000000,0.000000,0.000000,0.350938,0.118467,-0.349000,0.284186,1.072950,-0.108669,0.346815,0.268201,-0.294012,0.305063,0.188840,-0.539512,0.121776,-0.356230]
[0.000000,0.000000,0.000000,0.353198,0.120375,-0.349000,0.278345,1.070067,-0.108953,0.347539,0.248879,-0.282812,0.306640,0.193797,-0.546521,0.127951,-0.350654]
[0.000000,0.000000,0.000000,0.355671,0.122624,-0.349000,0.272415,1.067255,-0.108996,0.348149,0.228528,-0.272253,0.308513,0.199612,-0.554049,0.134872,-0.344197]
[0.000000,0.000000,0.000000,0.358249,0.125114,-0.349000,0.266335,1.064418,-0.108944,0.348618,0.207639,-0.262191,0.310462,0.206027,-0.562117,0.141888,-0.336784]
[0.000000,0.000000,0.000000,0.360824,0.127745,-0.349000,0.260043,1.061459,-0.108942,0.348922,0.186703,-0.252479,0.312265,0.212784,-0.570748,0.148346,-0.328340]
[0.000000,0.000000,0.000000,0.363295,0.130417,-0.349000,0.253489,1.058288,-0.109121,0.349038,0.166198,-0.242979,0.313716,0.219634,-0.579954,0.153619,-0.318809]
[0.000000,0.000000,0.000000,0.365741,0.133038,-0.349000,0.246802,1.054958,-0.109324,0.349021,0.146300,-0.233696,0.314823,0.226515,-0.589533,0.157566,-0.308504]
