[waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint]
[0.00000,0.00000,0.00000,-0.07600,0.00000,0.49000,1.22900,0.60900,-0.12900,-0.08400,0.13600,-0.00000,-0.14200,0.89700,-0.56400,-0.05800,0.00600]
[0.00000,0.00000,0.00000,-0.07600,0.00000,0.49000,1.22900,0.60900,-0.12900,-0.08400,0.13600,-0.00000,-0.14220,0.89720,-0.56400,-0.05800,0.00600]
[0.00000,0.00000,0.00000,-0.07600,0.00000,0.49000,1.22920,0.60900,-0.12900,-0.08400,0.13580,-0.00000,-0.14256,0.89756,-0.56420,-0.05800,0.00600]
[0.00000,0.00000,0.00000,-0.07600,0.00000,0.49000,1.22956,0.60820,-0.12900,-0.08340,0.13544,-0.00000,-0.14265,0.89625,-0.56476,-0.05620,0.00720]
[0.00000,0.00000,0.00000,-0.07640,0.00000,0.48980,1.23125,0.61136,-0.13080,-0.08152,0.13515,-0.00000,-0.14132,0.89320,-0.56621,-0.05136,0.00776]
[0.00000,0.00000,0.00000,-0.07672,0.00000,0.49044,1.23200,0.61429,-0.13204,-0.08182,0.13552,-0.00000,-0.13965,0.89076,-0.56437,-0.04789,0.00461]
[0.00000,0.00000,0.00000,-0.07678,0.00000,0.49235,1.23200,0.61703,-0.13403,-0.08365,0.13562,-0.00000,-0.13652,0.88901,-0.56549,-0.04711,0.00489]
[0.00000,0.00000,0.00000,-0.07702,0.00000,0.49508,1.23260,0.62002,-0.13663,-0.08512,0.13509,-0.00000,-0.13462,0.88841,-0.56599,-0.04829,0.00751]
[0.00000,0.00000,0.00000,-0.07722,0.00000,0.49727,1.23328,0.62242,-0.13870,-0.08630,0.13468,-0.00000,-0.13310,0.88772,-0.56640,-0.04943,0.00981]
[0.00000,0.00000,0.00000,-0.07917,0.00000,0.49761,1.23462,0.62214,-0.13676,-0.08344,0.13514,-0.00000,-0.12848,0.88398,-0.55792,-0.04414,0.00885]
[0.00000,0.00000,0.00000,-0.08054,0.00000,0.49709,1.23650,0.61851,-0.13601,-0.08115,0.13611,-0.00000,-0.12698,0.88358,-0.55453,-0.04372,0.00548]
[0.00000,0.00000,0.00000,-0.08103,0.00000,0.49707,1.23680,0.61761,-0.13701,-0.08152,0.13549,-0.00000,-0.12798,0.88347,-0.55743,-0.04457,0.00738]
[0.00000,0.00000,0.00000,-0.08122,0.00000,0.49666,1.23724,0.61809,-0.13841,-0.08062,0.13279,-0.00000,-0.13079,0.88517,-0.56054,-0.04726,0.00951]
[0.00000,0.00000,0.00000,-0.08118,0.00000,0.49733,1.23559,0.61967,-0.13752,-0.08209,0.12163,-0.00000,-0.13523,0.89814,-0.56043,-0.05841,0.00520]
[0.00000,0.00000,0.00000,-0.08114,0.00000,0.49766,1.23607,0.62193,-0.14102,-0.08207,0.10371,-0.00000,-0.13418,0.90951,-0.56415,-0.06833,-0.00064]
[0.00000,0.00000,0.00000,-0.08132,0.00000,0.49793,1.23606,0.62475,-0.14082,-0.08006,0.08237,-0.00000,-0.13255,0.91541,-0.57312,-0.07466,-0.00191]
[0.00000,0.00000,0.00000,-0.08145,0.00000,0.49794,1.23625,0.62580,-0.13965,-0.07765,0.05989,-0.00000,-0.13184,0.92233,-0.58049,-0.08133,-0.00373]
[0.00000,0.00000,0.00000,-0.08096,0.00000,0.49755,1.23500,0.62744,-0.13772,-0.07612,0.03651,-0.00000,-0.12747,0.92506,-0.59539,-0.09146,-0.00738]
[0.00000,0.00000,0.00000,-0.08077,0.00000,0.49544,1.23520,0.63375,-0.13578,-0.07229,0.01001,-0.00000,-0.11978,0.92525,-0.59332,-0.10097,-0.01231]
[0.00000,0.00000,0.00000,-0.08102,0.00000,0.49175,1.23376,0.63680,-0.13202,-0.06804,-0.02259,-0.00000,-0.10102,0.90800,-0.58405,-0.09958,-0.01584]
[0.00000,0.00000,0.00000,-0.08001,0.00000,0.48840,1.23061,0.63924,-0.13222,-0.06663,-0.05827,-0.00000,-0.08002,0.88420,-0.57044,-0.09966,-0.01748]
[0.00000,0.00000,0.00000,-0.07841,0.00000,0.48452,1.22669,0.63999,-0.13257,-0.06490,-0.09642,-0.00000,-0.05961,0.86556,-0.56275,-0.09913,-0.01958]
