[waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint]
[0.00000,0.00000,0.00000,-0.01600,0.00000,0.42800,1.23700,0.70300,-0.05100,0.02000,0.13500,-0.00000,-0.22200,0.97500,-0.67200,-0.05200,-0.02700]
[0.00000,0.00000,0.00000,-0.01630,0.00000,0.42800,1.23700,0.70000,-0.05070,0.02060,0.13530,-0.00000,-0.22170,0.97380,-0.67290,-0.05110,-0.02580]
[0.00000,0.00000,0.00000,-0.01651,0.00000,0.42770,1.23730,0.69880,-0.05229,0.01892,0.13641,-0.00000,-0.22299,0.97176,-0.67323,-0.05317,-0.02166]
[0.00000,0.00000,0.00000,-0.01666,0.00000,0.42599,1.23871,0.70126,-0.05400,0.01924,0.13869,-0.00030,-0.22689,0.96883,-0.67526,-0.05642,-0.01396]
[0.00000,0.00000,0.00000,-0.01556,0.00000,0.42479,1.23820,0.70358,-0.05640,0.01587,0.14028,-0.00021,-0.23173,0.96738,-0.68658,-0.06199,-0.00557]
[0.00000,0.00000,0.00000,-0.01539,0.00000,0.42216,1.23754,0.69891,-0.05478,0.01651,0.14110,-0.00015,-0.23481,0.96667,-0.69151,-0.06440,-0.00660]
[0.00000,0.00000,0.00000,-0.01467,0.00000,0.41911,1.23678,0.69234,-0.05335,0.01546,0.14077,-0.00010,-0.23397,0.96857,-0.68956,-0.06458,-0.01032]
[0.00000,0.00000,0.00000,-0.01447,0.00000,0.41398,1.23684,0.68623,-0.04964,0.01682,0.14114,-0.00007,-0.23188,0.96900,-0.69119,-0.07040,-0.01052]
[0.00000,0.00000,0.00000,-0.01493,0.00000,0.40738,1.23809,0.67746,-0.04615,0.02197,0.14140,-0.00005,-0.23251,0.96810,-0.69263,-0.08318,-0.00257]
[0.00000,0.00000,0.00000,-0.01465,0.00000,0.39977,1.23806,0.66802,-0.04371,0.02438,0.14008,-0.00004,-0.23206,0.96537,-0.68974,-0.09363,0.00300]
[0.00000,0.00000,0.00000,-0.01386,0.00000,0.38904,1.23564,0.66232,-0.03629,0.02817,0.13585,-0.00002,-0.22484,0.95686,-0.67392,-0.09914,0.01560]
[0.00000,0.00000,0.00000,-0.01180,0.00000,0.37733,1.23095,0.65112,-0.03111,0.02752,0.12330,-0.00002,-0.20869,0.94700,-0.66164,-0.11560,0.01782]
[0.00000,0.00000,0.00000,-0.00976,0.00000,0.36313,1.22497,0.64149,-0.02747,0.02616,0.09531,-0.00001,-0.15088,0.90410,-0.65575,-0.11062,0.00257]
[0.00000,0.00000,0.00000,-0.00863,0.00000,0.35139,1.22258,0.63714,-0.02793,0.02281,0.06792,-0.00091,-0.09662,0.85397,-0.63723,-0.11523,-0.01260]
[0.00000,0.00000,0.00000,-0.00694,0.00000,0.34227,1.22000,0.63320,-0.02825,0.02047,0.04904,-0.00784,-0.04873,0.81738,-0.61256,-0.11846,-0.02322]
[0.00000,0.00000,0.00000,-0.00516,0.00000,0.33469,1.21760,0.62954,-0.02848,0.01883,0.03643,-0.01719,-0.00891,0.79057,-0.58779,-0.12072,-0.03065]
[0.00000,0.00000,0.00000,-0.00361,0.00000,0.32878,1.21562,0.62638,-0.02863,0.01768,0.02790,-0.02583,0.02196,0.77150,-0.56685,-0.12231,-0.03586]
[0.00000,0.00000,0.00000,-0.00073,0.00000,0.32615,1.21124,0.61846,-0.02904,0.01688,-0.00627,-0.03338,0.05227,0.66905,-0.54710,-0.10661,-0.02270]
[0.00000,0.00000,0.00000,0.00279,0.00000,0.32580,1.20606,0.61382,-0.02963,0.01631,-0.03469,-0.04317,0.07799,0.58923,-0.52727,-0.09503,-0.01169]
[0.00000,0.00000,0.00000,0.00525,0.00000,0.32616,1.20245,0.61118,-0.03004,0.01592,-0.05548,-0.05362,0.09899,0.53336,-0.50889,-0.08692,-0.00398]
[0.00000,0.00000,0.00000,0.00848,0.00000,0.32791,1.20141,0.61322,-0.03753,0.01954,-0.08954,-0.06693,0.13470,0.45135,-0.49122,-0.04644,-0.00849]
[0.00000,0.00000,0.00000,0.01223,0.00000,0.32794,1.19829,0.62636,-0.03887,0.01998,-0.15208,-0.08585,0.17379,0.35255,-0.45815,-0.02291,-0.00894]
[0.00000,0.00000,0.00000,0.01486,0.00000,0.32946,1.19460,0.63315,-0.03651,0.01849,-0.21175,-0.10660,0.20715,0.27468,-0.43111,-0.01154,-0.01286]
[0.00000,0.00000,0.00000,0.01670,0.00000,0.33082,1.19022,0.63070,-0.03426,0.01504,-0.28353,-0.12862,0.24011,0.19348,-0.40888,0.01352,-0.00840]
