[waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint]
[0.00000,0.00000,0.00000,-0.11100,0.00000,0.46100,1.26200,0.69400,-0.01000,-0.11900,0.09000,-0.00000,-0.20100,0.94200,-0.34900,-0.03200,0.03200]
[0.00000,0.00000,0.00000,-0.11100,0.00000,0.46100,1.26200,0.69400,-0.01000,-0.11900,0.09000,-0.00000,-0.20100,0.94200,-0.34900,-0.03200,0.03200]
[0.00000,0.00000,0.00000,-0.11100,0.00000,0.46100,1.26200,0.69400,-0.01000,-0.11900,0.09000,-0.00000,-0.20100,0.94200,-0.34900,-0.03200,0.03200]
[0.00000,0.00000,0.00000,-0.11100,0.00000,0.46100,1.26200,0.69400,-0.01000,-0.11900,0.09000,-0.00000,-0.20100,0.94200,-0.34900,-0.03200,0.03200]
[0.00000,0.00000,0.00000,-0.11100,0.00000,0.46100,1.26200,0.69400,-0.01000,-0.11900,0.09000,-0.00000,-0.20100,0.94200,-0.34900,-0.03200,0.03200]
[0.00000,0.00000,0.00000,-0.11090,0.00000,0.46140,1.26010,0.69240,-0.00770,-0.11970,0.08860,-0.00000,-0.20030,0.94670,-0.35190,-0.03460,0.02960]
[0.00000,0.00000,0.00000,-0.11071,0.00000,0.46166,1.25829,0.69096,-0.00563,-0.12033,0.08704,-0.00000,-0.19987,0.95123,-0.35471,-0.03694,0.02744]
[0.00000,0.00000,0.00000,-0.11044,0.00000,0.46229,1.25646,0.69026,-0.00347,-0.12200,0.08634,-0.00000,-0.19918,0.95181,-0.35604,-0.03625,0.02760]
[0.00000,0.00000,0.00000,-0.11030,0.00000,0.46256,1.25491,0.68944,-0.00152,-0.12340,0.08610,-0.00000,-0.19846,0.95173,-0.35794,-0.03562,0.02794]
[0.00000,0.00000,0.00000,-0.11017,0.00000,0.46291,1.25392,0.68939,-0.00207,-0.12526,0.08569,-0.00000,-0.19772,0.95285,-0.35774,-0.03536,0.02694]
[0.00000,0.00000,0.00000,-0.11005,0.00000,0.46322,1.25303,0.68935,-0.00256,-0.12693,0.08532,-0.00000,-0.19715,0.95387,-0.35767,-0.03512,0.02605]
[0.00000,0.00000,0.00000,-0.11014,0.00000,0.46420,1.25273,0.68772,-0.00321,-0.12814,0.08509,-0.00000,-0.19653,0.95438,-0.35720,-0.03421,0.02414]
[0.00000,0.00000,0.00000,-0.11023,0.00000,0.46508,1.25246,0.68625,-0.00378,-0.12922,0.08488,-0.00000,-0.19598,0.95484,-0.35678,-0.03339,0.02243]
[0.00000,0.00000,0.00000,-0.11081,0.00000,0.46547,1.25251,0.68512,-0.00441,-0.12970,0.08459,-0.00000,-0.19488,0.95416,-0.35650,-0.03195,0.02089]
