[waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint]
[0.00000,0.00000,0.00000,-0.02100,0.00000,0.64000,1.17500,0.95200,-0.04200,-0.01700,0.06400,-0.00000,-0.44800,1.18800,-0.62300,-0.10700,0.02000]
[0.00000,0.00000,0.00000,-0.02112,0.00000,0.64000,1.17500,0.95212,-0.04212,-0.01700,0.06412,-0.00000,-0.44800,1.18800,-0.62336,-0.10700,0.02000]
[0.00000,0.00000,0.00000,-0.02128,0.00000,0.64000,1.17500,0.95264,-0.04180,-0.01664,0.06428,-0.00000,-0.44812,1.18836,-0.62227,-0.10760,0.01940]
[0.00000,0.00000,0.00000,-0.02155,0.00000,0.64012,1.17524,0.95326,-0.04096,-0.01557,0.06431,-0.00000,-0.44804,1.18907,-0.62118,-0.10898,0.01574]
[0.00000,0.00000,0.00000,-0.02184,0.00000,0.64040,1.17447,0.95420,-0.04014,-0.01590,0.06476,-0.00000,-0.44896,1.19008,-0.62250,-0.11184,0.01447]
[0.00000,0.00000,0.00000,-0.02162,0.00000,0.64130,1.17385,0.95530,-0.03918,-0.01676,0.06522,-0.00000,-0.45103,1.19073,-0.62443,-0.11438,0.01484]
[0.00000,0.00000,0.00000,-0.02169,0.00000,0.64285,1.17397,0.95680,-0.04007,-0.01812,0.06539,-0.00000,-0.45309,1.19104,-0.62627,-0.11756,0.01502]
[0.00000,0.00000,0.00000,-0.02236,0.00000,0.64471,1.17462,0.95662,-0.04128,-0.01963,0.06505,-0.00000,-0.45323,1.19128,-0.62521,-0.11871,0.01329]
[0.00000,0.00000,0.00000,-0.02332,0.00000,0.64565,1.17518,0.95587,-0.04067,-0.02127,0.06491,-0.00000,-0.45290,1.19231,-0.62354,-0.12139,0.01181]
[0.00000,0.00000,0.00000,-0.02428,0.00000,0.64549,1.17636,0.95545,-0.03986,-0.02193,0.06450,-0.00000,-0.45205,1.19319,-0.62338,-0.12331,0.00917]
[0.00000,0.00000,0.00000,-0.02501,0.00000,0.64488,1.17789,0.95462,-0.03881,-0.02149,0.06450,-0.00000,-0.45097,1.19257,-0.62434,-0.12336,0.00900]
