[waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint]
[0.00000,0.00000,0.00000,-0.01100,0.00000,0.37700,1.25300,0.59700,-0.05500,0.04400,0.19300,-0.00000,-0.11500,0.92800,-0.61000,-0.08800,-0.07500]
[0.00000,0.00000,0.00000,-0.01100,0.00000,0.37670,1.25270,0.59970,-0.05500,0.04430,0.19300,-0.00000,-0.11410,0.92710,-0.60970,-0.08740,-0.07500]
[0.00000,0.00000,0.00000,-0.01100,0.00000,0.37739,1.25189,0.59829,-0.05560,0.04361,0.19330,-0.00000,-0.11377,0.92617,-0.60859,-0.08878,-0.07350]
[0.00000,0.00000,0.00000,-0.01100,0.00000,0.37847,1.25132,0.59520,-0.05632,0.04283,0.19411,-0.00000,-0.11414,0.92522,-0.60721,-0.09035,-0.07215]
[0.00000,0.00000,0.00000,-0.01190,0.00000,0.37833,1.25093,0.59124,-0.05652,0.04228,0.19468,-0.00000,-0.11890,0.92875,-0.60595,-0.10014,-0.07090]
[0.00000,0.00000,0.00000,-0.01253,0.00000,0.37823,1.25035,0.58307,-0.05367,0.04040,0.19207,-0.00000,-0.12043,0.93363,-0.60446,-0.09890,-0.07093]
[0.00000,0.00000,0.00000,-0.01267,0.00000,0.37606,1.24994,0.58125,-0.04927,0.04028,0.19115,-0.00030,-0.11700,0.92864,-0.60403,-0.09143,-0.06765]
[0.00000,0.00000,0.00000,-0.01247,0.00000,0.37394,1.24876,0.58177,-0.04799,0.03809,0.19261,-0.00171,-0.11160,0.92545,-0.60492,-0.09220,-0.06656]
[0.00000,0.00000,0.00000,-0.01173,0.00000,0.37456,1.24613,0.58334,-0.04769,0.03267,0.19302,-0.00210,-0.11142,0.92501,-0.61184,-0.09574,-0.06339]
[0.00000,0.00000,0.00000,-0.01241,0.00000,0.37649,1.24639,0.57904,-0.04748,0.03427,0.19242,-0.00207,-0.11099,0.92291,-0.62209,-0.09342,-0.05997]
[0.00000,0.00000,0.00000,-0.01409,0.00000,0.37304,1.24897,0.59043,-0.04824,0.03659,0.18869,-0.00145,-0.11310,0.93344,-0.63376,-0.09929,-0.06958]
[0.00000,0.00000,0.00000,-0.01286,0.00000,0.37453,1.24718,0.59300,-0.05057,0.03251,0.18608,-0.00101,-0.11907,0.93571,-0.62903,-0.10221,-0.06461]
[0.00000,0.00000,0.00000,-0.01320,0.00000,0.37617,1.24683,0.59420,-0.04890,0.03116,0.18516,-0.00071,-0.12535,0.94029,-0.63112,-0.11354,-0.06532]
[0.00000,0.00000,0.00000,-0.01344,0.00000,0.37852,1.24568,0.59024,-0.04743,0.02871,0.18181,-0.00050,-0.13004,0.94651,-0.63649,-0.11578,-0.06943]
[0.00000,0.00000,0.00000,-0.01331,0.00000,0.37926,1.24428,0.58657,-0.04250,0.02760,0.17857,-0.00035,-0.13183,0.94725,-0.63664,-0.11705,-0.07110]
